Team,Football-Data,Salary,Market-Value,Number
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats,https://salarysport.com/football/premier-league/arsenal-f.c./,https://www.footballtransfers.com/en/teams/uk/arsenal,https://www.premierleague.com/clubs/1/Arsenal/squad
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats,https://salarysport.com/football/premier-league/aston-villa-f.c./,https://www.footballtransfers.com/en/teams/uk/aston-villa,https://www.premierleague.com/clubs/2/Aston-Villa/squad
Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats,https://salarysport.com/football/premier-league/afc-bournemouth/,https://www.footballtransfers.com/en/teams/uk/bournemouth,https://www.premierleague.com/clubs/127/Bournemouth/squad
Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats,https://salarysport.com/football/premier-league/brentford/,https://www.footballtransfers.com/en/teams/uk/brentford,https://www.premierleague.com/clubs/130/Brentford/squad
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,https://salarysport.com/football/premier-league/brighton-&-hove-albion/,https://www.footballtransfers.com/en/teams/uk/brighton,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/squad
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats,https://salarysport.com/football/premier-league/chelsea-f.c./,https://www.footballtransfers.com/en/teams/uk/chelsea,https://www.premierleague.com/clubs/4/Chelsea/squad
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats,https://salarysport.com/football/premier-league/crystal-palace/,https://www.footballtransfers.com/en/teams/uk/crystal-palace,https://www.premierleague.com/clubs/6/Crystal-Palace/squad
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats,https://salarysport.com/football/premier-league/everton-f.c./,https://www.footballtransfers.com/en/teams/uk/everton,https://www.premierleague.com/clubs/7/Everton/squad
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats,https://salarysport.com/football/premier-league/fulham/,https://www.footballtransfers.com/en/teams/uk/fulham,https://www.premierleague.com/clubs/34/Fulham/squad
Leeds,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats,https://salarysport.com/football/premier-league/leeds-united/,https://www.footballtransfers.com/en/teams/uk/leeds-united,https://www.premierleague.com/clubs/9/Leeds-United/squad
Leicester,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats,https://salarysport.com/football/premier-league/leicester-city/,https://www.footballtransfers.com/en/teams/uk/leicester,https://www.premierleague.com/clubs/26/Leicester-City/squad
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats,https://salarysport.com/football/premier-league/liverpool-f.c./,https://www.footballtransfers.com/en/teams/uk/liverpool,https://www.premierleague.com/clubs/10/Liverpool/squad
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats,https://salarysport.com/football/premier-league/manchester-city-f.c./,https://www.footballtransfers.com/en/teams/uk/man-city,https://www.premierleague.com/clubs/11/Manchester-City/squad
Manchester United,https://fbref.com/en/squads/19538871/Manchester-United-Stats,https://salarysport.com/football/premier-league/manchester-united-f.c./,https://www.footballtransfers.com/en/teams/uk/man-utd,https://www.premierleague.com/clubs/12/Manchester-United/squad
Newcastle,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats,https://salarysport.com/football/premier-league/newcastle-united-f.c./,https://www.footballtransfers.com/en/teams/uk/newcastle-utd,https://www.premierleague.com/clubs/23/Newcastle-United/squad
Nottingham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats,https://salarysport.com/football/sky-bet-championship/nottingham-forest/,https://www.footballtransfers.com/en/teams/uk/nottingham,https://www.premierleague.com/clubs/15/Nottingham-Forest/squad
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats,https://salarysport.com/football/premier-league/southampton-f.c./,https://www.footballtransfers.com/en/teams/uk/southampton,https://www.premierleague.com/clubs/20/Southampton/squad
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats,https://salarysport.com/football/premier-league/tottenham-hotspur-f.c./,https://www.footballtransfers.com/en/teams/uk/tottenham,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/squad
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats,https://salarysport.com/football/premier-league/west-ham-united-f.c./,https://www.footballtransfers.com/en/teams/uk/west-ham,https://www.premierleague.com/clubs/25/West-Ham-United/squad
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,https://salarysport.com/football/premier-league/wolverhampton-wanderers-f.c./,https://www.footballtransfers.com/en/teams/uk/wolverhampton,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/squad